time(sec), throughput(req/sec), avg_lat(ms), min_lat(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms), 90th_lat(ms), 95th_lat(ms), 99th_lat(ms), max_lat(ms), tp (req/s) scaled
450,42.200,1047.094,1000.224,1031.973,1041.714,1050.136,1059.435,1125.486,1275.861,1324.761,0.001
455,41.000,1048.751,1000.099,1033.386,1041.903,1050.251,1067.661,1141.773,1192.552,1283.825,0.001
460,39.600,1050.503,1000.925,1033.525,1041.898,1050.488,1075.122,1150.372,1233.284,1234.077,0.001
465,33.400,1060.086,1001.538,1040.765,1042.095,1050.900,1083.143,1183.869,1474.100,1475.074,0.001
470,30.400,1086.355,1000.823,1039.506,1042.246,1058.374,1116.994,1241.688,2457.852,3340.640,0.001
475,13.800,1098.319,1001.065,1033.006,1041.750,1058.121,1279.048,1449.950,2125.755,2125.755,0.001
480,36.800,1054.469,1000.308,1034.405,1042.022,1052.826,1067.209,1108.514,1466.149,1508.000,0.001
485,27.400,1073.010,1000.102,1033.698,1042.045,1057.721,1150.113,1231.628,1642.360,1647.536,0.001
490,27.800,1073.595,1000.074,1033.931,1042.169,1058.506,1207.766,1300.437,1425.550,1633.072,0.001
495,32.800,1059.264,1001.113,1032.889,1042.107,1065.938,1100.551,1156.513,1366.993,1408.693,0.001
500,35.000,1056.927,999.935,1033.032,1041.515,1053.984,1099.353,1209.122,1366.662,1392.876,0.001
505,37.200,1053.694,999.868,1030.787,1041.903,1058.119,1099.307,1150.072,1367.717,1426.546,0.001
510,35.200,1057.191,999.603,1033.345,1042.189,1067.332,1101.157,1150.686,1250.441,1292.010,0.001
515,37.200,1054.748,1000.575,1033.139,1041.897,1066.095,1091.911,1150.617,1325.867,1341.565,0.001
520,29.600,1065.555,1000.278,1034.113,1049.528,1058.044,1083.862,1223.946,1657.499,1658.769,0.001
525,38.200,1052.098,1001.722,1033.376,1041.853,1050.282,1066.717,1151.108,1325.695,1425.011,0.001
530,40.200,1050.127,1000.487,1033.076,1041.720,1050.075,1066.856,1162.728,1232.857,1249.638,0.001
535,45.000,1044.458,1000.232,1024.971,1041.071,1049.382,1066.806,1100.395,1217.453,1450.230,0.001
540,44.600,1044.566,999.925,1033.077,1041.598,1050.050,1065.871,1099.802,1182.980,1199.440,0.001
545,40.200,1049.460,1000.418,1024.785,1040.935,1049.590,1066.498,1141.384,1462.975,1550.155,0.001
550,43.000,1046.393,1000.340,1030.067,1041.529,1049.983,1074.909,1133.640,1216.942,1285.868,0.001
555,39.600,1052.675,1000.626,1032.495,1041.628,1050.218,1083.471,1158.179,1374.616,1441.793,0.001
560,27.800,1069.132,1000.160,1032.683,1041.625,1058.239,1109.204,1299.732,1600.510,1625.055,0.001
565,37.600,1052.711,999.985,1033.157,1041.685,1058.101,1075.792,1166.862,1285.270,1366.790,0.001
570,34.200,1058.433,1001.334,1032.416,1041.426,1049.723,1058.785,1149.930,1757.430,1766.847,0.001
575,39.800,1050.195,1002.027,1033.335,1041.667,1050.070,1066.875,1166.333,1224.723,1225.588,0.001
580,32.200,1062.205,1000.604,1032.813,1041.819,1057.683,1116.504,1232.866,1458.633,1507.728,0.001
585,36.600,1054.728,1001.849,1033.489,1041.864,1049.834,1058.328,1150.142,1800.378,1839.486,0.001
590,42.800,1046.547,999.638,1033.566,1041.761,1050.100,1058.996,1100.462,1216.896,1317.599,0.001
595,31.400,1063.661,1000.489,1033.264,1041.589,1050.018,1066.013,1258.658,1649.984,1667.242,0.001
600,39.600,1050.293,1000.186,1034.068,1042.207,1050.185,1074.672,1149.837,1241.653,1290.279,0.001
605,38.600,1051.841,1000.292,1033.449,1041.677,1049.609,1065.906,1116.086,1507.858,1508.733,0.001
610,39.600,1050.209,1000.383,1033.119,1042.138,1050.202,1074.884,1117.242,1265.948,1266.681,0.001
615,41.400,1049.728,1001.178,1033.355,1041.500,1049.861,1066.325,1141.734,1300.071,1371.620,0.001
620,37.800,1051.283,1001.212,1033.335,1041.640,1050.264,1066.609,1083.677,1324.900,1541.248,0.001
625,44.000,1045.138,1000.105,1030.072,1041.690,1050.132,1066.752,1133.619,1207.933,1272.874,0.001
630,39.200,1051.144,1000.780,1032.757,1041.346,1049.868,1067.556,1183.484,1299.822,1310.887,0.001
635,28.000,1071.542,1000.897,1033.999,1042.287,1050.480,1066.510,1358.415,1807.084,1824.738,0.001
640,39.400,1050.779,1000.510,1033.296,1041.665,1050.142,1066.983,1158.007,1282.836,1282.839,0.001
645,40.600,1048.888,999.778,1032.453,1040.934,1049.609,1071.511,1166.094,1212.400,1431.015,0.001
650,35.600,1056.175,1001.033,1034.020,1041.805,1050.160,1074.859,1175.018,1616.600,1624.736,0.001
655,43.200,1046.450,1000.820,1033.177,1041.653,1049.474,1058.650,1135.022,1216.260,1232.728,0.001
660,33.200,1059.824,999.774,1033.253,1041.870,1050.443,1067.084,1215.751,1682.351,1692.212,0.001
665,43.400,1045.831,1000.248,1033.008,1041.565,1049.786,1057.940,1091.443,1208.837,1434.224,0.001
670,35.200,1056.742,1000.292,1033.220,1041.415,1049.798,1066.311,1133.548,2158.551,2191.877,0.001
675,42.600,1046.880,999.921,1025.194,1041.123,1049.537,1058.608,1141.936,1199.686,1541.477,0.001
680,42.000,1047.493,1001.156,1025.079,1041.538,1049.921,1066.843,1112.211,1191.752,1574.259,0.001
685,46.800,1043.913,999.678,1017.604,1040.648,1049.844,1059.340,1141.503,1250.447,1325.263,0.001
690,35.400,1054.750,999.935,1033.208,1041.661,1050.331,1099.955,1164.590,1370.740,1405.445,0.001
695,50.600,1039.482,999.815,1016.647,1033.434,1049.880,1059.032,1100.713,1181.153,1283.201,0.001
700,36.800,1054.466,1000.379,1033.173,1041.864,1050.094,1109.465,1182.596,1284.478,1325.395,0.001
705,38.600,1054.516,1000.702,1033.667,1042.145,1050.727,1082.803,1125.098,1591.402,1651.435,0.001
710,40.800,1046.184,1000.146,1033.485,1042.243,1050.811,1066.264,1125.472,1164.164,1192.229,0.001
715,47.000,1042.408,999.629,1025.790,1040.715,1043.375,1059.807,1100.912,1216.149,1242.754,0.001
720,39.600,1050.515,999.675,1034.076,1041.928,1050.475,1083.433,1141.739,1272.432,1283.577,0.001
725,35.800,1061.331,1000.260,1040.375,1042.467,1058.625,1075.447,1174.682,1600.253,1601.141,0.001
730,29.400,1062.434,1000.880,1033.481,1042.218,1066.059,1108.477,1249.769,1324.825,1333.942,0.001
735,38.600,1050.816,1000.366,1033.284,1041.961,1050.296,1075.161,1175.680,1258.670,1264.606,0.001
740,46.000,1043.358,999.886,1031.678,1041.626,1050.289,1067.000,1083.088,1175.431,1242.096,0.001
745,38.800,1051.578,1000.827,1033.570,1041.680,1050.081,1060.365,1092.809,1425.204,1516.745,0.001
750,37.800,1052.559,1000.423,1033.688,1042.008,1050.444,1092.766,1158.848,1308.181,1309.065,0.001
755,44.600,1044.840,1000.287,1033.229,1041.702,1050.446,1066.613,1091.502,1149.767,1181.347,0.001
760,41.600,1048.756,999.986,1033.209,1042.004,1050.677,1083.439,1107.779,1211.154,1225.076,0.001
765,42.600,1046.124,1000.582,1030.730,1041.652,1049.773,1075.147,1125.195,1192.685,1258.955,0.001
770,46.200,1043.164,1000.661,1033.022,1041.671,1050.369,1062.095,1083.408,1174.719,1208.374,0.001
775,46.400,1043.086,1000.342,1025.728,1041.243,1050.130,1060.982,1128.273,1208.235,1241.184,0.001
780,41.600,1048.865,1000.574,1033.883,1042.146,1050.211,1075.190,1108.340,1233.201,1258.557,0.001
785,45.200,1043.286,1000.118,1032.851,1041.539,1049.937,1058.626,1091.640,1166.323,1266.412,0.001
790,48.400,1041.482,1000.228,1017.210,1039.688,1049.985,1082.905,1108.052,1166.495,1175.606,0.001
795,41.400,1047.939,1000.178,1030.839,1042.071,1050.152,1058.841,1108.829,1283.476,1350.423,0.001
800,46.800,1043.057,1000.111,1017.307,1033.778,1043.056,1066.433,1125.452,1233.082,1407.612,0.001
805,33.400,1062.289,1000.850,1016.754,1038.051,1066.327,1156.602,1192.023,1532.592,1775.825,0.001
810,37.600,1050.643,1000.761,1032.651,1041.899,1050.993,1083.478,1132.397,1216.578,1556.189,0.001
815,43.600,1045.628,1000.559,1033.110,1041.529,1049.722,1074.305,1117.303,1166.347,1177.631,0.001
820,42.400,1048.666,999.447,1025.465,1039.497,1049.563,1075.778,1166.659,1240.679,1266.587,0.001
825,40.400,1047.661,1000.363,1032.783,1041.532,1050.026,1074.864,1149.281,1242.319,1291.478,0.001
830,52.000,1038.569,1000.391,1025.229,1040.881,1049.570,1058.262,1074.311,1158.602,1200.293,0.001
835,48.800,1040.866,1000.579,1032.366,1041.403,1049.728,1058.018,1083.111,1167.443,1183.490,0.001
840,45.400,1044.142,1000.432,1025.296,1041.378,1050.234,1066.740,1098.770,1166.793,1441.421,0.001
845,45.800,1043.404,1000.300,1032.854,1041.405,1049.876,1058.803,1092.136,1166.843,1206.666,0.001
850,41.800,1047.733,999.596,1033.019,1041.573,1049.967,1074.176,1133.669,1224.072,1258.287,0.001
855,42.200,1048.239,1000.005,1025.192,1041.207,1050.158,1075.427,1134.248,1200.188,1500.233,0.001
860,28.600,1069.190,999.935,1032.976,1050.197,1083.931,1149.728,1167.075,1441.943,1475.030,0.001
865,38.400,1051.473,1000.856,1032.926,1041.877,1050.750,1100.535,1149.739,1191.878,1258.491,0.001
870,34.400,1057.966,1002.247,1033.128,1041.721,1050.249,1099.679,1157.917,1483.099,1782.713,0.001
875,45.200,1044.222,1000.744,1025.777,1041.512,1049.894,1084.067,1115.018,1166.301,1192.643,0.001
880,35.800,1058.074,999.846,1033.629,1041.651,1049.749,1066.848,1208.721,1499.483,1566.614,0.001
885,36.600,1052.218,1000.104,1033.358,1041.639,1050.111,1066.507,1117.243,1424.376,1434.210,0.001
890,32.800,1060.960,1000.238,1033.029,1041.711,1050.500,1083.559,1241.491,1558.129,1657.442,0.001
895,38.000,1052.374,1000.279,1033.397,1041.580,1049.677,1058.833,1099.169,1449.847,1558.513,0.001
900,37.000,1053.937,1000.656,1033.702,1041.617,1049.604,1065.851,1108.506,1574.244,1575.404,0.001
905,30.000,1066.594,1000.142,1033.661,1041.845,1050.099,1090.892,1216.667,1674.043,1683.632,0.001
910,34.200,1058.378,1000.705,1038.270,1042.033,1050.312,1075.230,1200.821,1433.236,1433.552,0.001
915,33.200,1060.313,999.956,1038.354,1041.944,1050.111,1058.471,1199.575,1667.217,1808.675,0.001
920,42.000,1052.913,999.838,1033.342,1041.558,1049.787,1066.838,1150.611,1284.253,1616.653,0.001
925,32.200,1054.937,1000.912,1032.991,1041.031,1042.328,1058.276,1167.219,1642.119,1650.155,0.001
930,31.400,1063.719,1000.373,1033.291,1041.084,1042.749,1149.869,1208.145,1750.086,1758.445,0.001
935,36.800,1054.362,999.695,1033.400,1041.391,1049.809,1108.266,1190.892,1283.248,1283.739,0.001
940,18.400,1108.261,1000.987,1033.289,1058.259,1150.761,1233.687,1333.641,1732.838,1732.838,0.001
945,16.200,1123.861,1000.944,1041.570,1075.757,1166.400,1308.865,1432.700,1566.176,1566.176,0.001
950,29.200,1068.704,999.554,1033.363,1041.616,1066.933,1158.132,1234.283,1363.866,1391.599,0.001
955,33.200,1060.594,999.492,1032.847,1041.221,1042.876,1111.798,1266.699,1391.001,1482.715,0.001
960,26.000,1077.761,1001.585,1032.905,1041.113,1058.101,1250.012,1299.927,1442.079,1459.395,0.001
965,32.600,1059.596,1001.161,1033.328,1041.138,1049.564,1124.544,1209.136,1341.910,1358.584,0.001
970,27.400,1073.043,1000.372,1032.954,1041.300,1050.775,1208.396,1333.510,1475.228,1491.122,0.001
975,37.600,1056.503,1000.021,1033.123,1041.414,1042.919,1075.294,1164.794,1555.920,1557.415,0.001
980,33.200,1056.108,1000.690,1033.150,1041.110,1049.118,1083.031,1234.267,1397.823,1400.215,0.001
985,38.400,1055.883,1000.071,1032.829,1041.288,1049.392,1100.310,1200.372,1425.812,1483.264,0.001
990,37.200,1051.054,1000.074,1032.826,1040.948,1042.211,1075.612,1108.845,1384.244,1391.672,0.001
995,36.200,1053.969,1001.143,1033.168,1040.960,1042.268,1058.175,1147.117,1509.096,1699.592,0.001
1000,24.600,1081.363,1001.731,1033.458,1042.534,1084.669,1183.466,1297.558,1433.265,1483.602,0.001
1005,31.000,1067.809,1000.119,1033.269,1041.224,1049.068,1152.384,1316.461,1542.097,1559.497,0.001
