time(sec), throughput(req/sec), avg_lat(ms), min_lat(ms), 25th_lat(ms), median_lat(ms), 75th_lat(ms), 90th_lat(ms), 95th_lat(ms), 99th_lat(ms), max_lat(ms), tp (req/s) scaled
800,5.8,3833.003,1119.786,3360.064,3926.169,4827.206,5956.907,6007.789,6707.452,6707.452,0
805,3.6,5635.244,1002.573,4466.178,5401.23,8425.287,9818.248,11233.554,11233.554,11233.554,0
810,4.4,5193.381,1027.195,4350.462,4752.73,5252.084,8419.499,8812.473,10833.553,10833.553,0
815,4,5731.004,1003.815,1676.699,4975.428,10036.721,12086.021,13874.149,13874.149,13874.149,0
820,4,6008.748,1126.793,4332.585,5327.154,8042.6,11617.937,12102.158,12102.158,12102.158,0
825,4.8,4930.44,1660.232,3293.368,5261.763,6567.957,7420.143,8077.896,9563.511,9563.511,0
830,4.4,4669.053,1000.432,1412.425,4634.708,7324.085,7690.765,8291.476,8318.557,8318.557,0
835,5.6,3688.265,1004.727,3040.886,3811.246,4827.564,5238.701,5472.261,7752.92,7752.92,0
840,4.6,4817.075,1006.18,1794.234,4269.725,7792.437,8477.84,8505.463,8694.217,8694.217,0
845,3.4,5532.973,1003.558,4901.558,5545.654,6783.278,7190.37,8352.53,8352.53,8352.53,0
850,3.4,5378.024,1484.318,3941.184,5697.238,8113.997,8671.137,8898.309,8898.309,8898.309,0
855,4,4543.863,1243.768,1784.582,4976.215,6038.108,9440.919,10109.743,10109.743,10109.743,0
860,4.4,4381.041,1003.534,3514.992,4724.168,5302.646,7001.874,7677.823,8804.94,8804.94,0
865,3.6,4946.424,1029.659,1676.377,5461.736,8377.07,8985.774,9213.189,9213.189,9213.189,0
870,3.8,4741.25,1004.146,1710.541,5258.447,6462.557,10711.998,10712.335,10712.335,10712.335,0
875,4.6,4188.803,1004.585,1802.257,4442.548,6387.809,6964.861,7307.249,7681.554,7681.554,0
880,5.4,3502.788,1096.75,2236.176,3173.499,4877.145,5996.512,7051.397,7075.137,7075.137,0
885,3.4,5630.085,1116.743,3272.364,5012.028,8111.248,9189.682,12314.609,12314.609,12314.609,0
890,3,4836.603,1005.657,1643.314,5203.194,6239.621,9643.78,9649.609,9649.609,9649.609,0
895,5.2,4104.673,1003.836,1702.214,2779.369,7409.967,8322.656,8558.866,8927.321,8927.321,0
900,4.2,6164.944,1004.895,4234.215,5462.872,8488.904,9625.252,9714.833,10460.81,10460.81,0
905,4,5218.67,1003.554,1667.969,6821.228,7376.736,7764.572,7850.171,7850.171,7850.171,0
910,3.8,5155.396,1002.747,1899.121,4943.069,7764.585,8356.144,8515.53,8515.53,8515.53,0
915,4,6006.903,1526.676,5260.175,5568.574,8552.706,9344.469,11200.901,11200.901,11200.901,0
920,3.6,4677.864,1003.557,1417.415,4469.218,7428.418,9354.564,12216.342,12216.342,12216.342,0
925,3.6,4900.37,1002.704,1634.239,4765.913,6929.488,10305.749,10429.68,10429.68,10429.68,0
930,4.4,5260.287,1003.456,1698.337,5054.071,8220.499,9306.212,9849.281,10418.998,10418.998,0
935,3,6723.439,1609.751,5110.092,6539.113,9303.752,9681.011,10014.35,10014.35,10014.35,0
940,3.8,5305.518,1003.105,1609.413,4984.679,9203.39,9628.985,9880.349,9880.349,9880.349,0
945,4,5666.632,1003.886,3623.789,5126.503,8527.751,9546.095,13933.521,13933.521,13933.521,0
950,3.6,4100.749,1003.331,1660.819,4158.907,5160.248,7526.877,9329.538,9329.538,9329.538,0
955,4.4,4588.975,1003.332,1793.646,3971.352,7850.692,8868.925,10246.716,10916.02,10916.02,0
960,4.4,4395.561,1021.927,1727.4,2955.845,7106.715,7932.874,10873.177,11442.102,11442.102,0
965,3.8,5131.324,1141.605,3731.652,4985.828,6537.082,6922.197,13837.352,13837.352,13837.352,0
970,5,4536.19,1004.051,1993.943,4275.632,7059.018,7978.466,7984.895,8140.225,8140.225,0
975,3.6,6331.538,1091.925,3081.057,7233.403,9321.854,9873.815,12713.462,12713.462,12713.462,0
980,4.4,5169.304,1004.348,1734.979,4823.786,7466.039,8442.771,10338.601,13972.566,13972.566,0
985,3.6,4040.332,1609.03,1694.065,5009.18,5510.488,7323.626,7566.798,7566.798,7566.798,0
990,3.8,4515.641,1020.099,1501.76,2495.291,7131.712,9341.191,9586.078,9586.078,9586.078,0
995,3.4,6244.674,1003.763,4031.037,5901.426,8869.695,9348.868,9575.792,9575.792,9575.792,0
